CODCALLE,TEXTO,CAPACIDAD,UTM_X,UTM_Y,NOTAS,TIPO
52095,CALLE SAN FRANCISCO DE PAULA (LLANO DEL MORO),3000.0,369420.428178,3147085.42977,,Papel_Carton
52137,"CALLE LA ZAPATERA, (LLANO DEL MORO)",3000.0,369806.738546,3147705.03901,,Papel_Carton
52137,"CALLE LA ZAPATERA, (LLANO DEL MORO)",3000.0,369961.19756,3147613.10268,,Papel_Carton
10495,CALLE 122,3000.0,369889.152499,3147473.47321,,Papel_Carton
50711,CTRA DEL SOBRADILLO,3000.0,369376.443969,3146924.93092,,Papel_Carton
52547,CALLE GIRASOL,3000.0,370974.136385,3145321.43723,,Papel_Carton
51455,CALLE LOS DESAMPARADOS,3000.0,371110.753446,3145639.38175,,Papel_Carton
51617,CALLE ROSADO,3000.0,371494.96711,3146126.5677,,Papel_Carton
57274,CTRA GENERAL DEL SUR,3000.0,371614.43,3145941.4,,Papel_Carton
51834,CALLE RUISEÑOR,3000.0,371828.271808,3146069.74,,Papel_Carton
10109,CALLE ROBERTO SANCHEZ SUAREZ,3000.0,372709.621799,3146999.52341,,Papel_Carton
57862,CALLE SAN BORONDON,3000.0,372750.44,3147137.55,,Papel_Carton
50115,CALLE LOS ESTUDIANTES,3000.0,372270.758745,3147222.72335,,Papel_Carton
50533,CALLE DOCTOR JOSE SAEZ Y SAENZ DIEZ,3000.0,372254.599448,3146508.90685,,Papel_Carton
10042,CALLE EL BUHO,3000.0,371961.989996,3146212.4872,,Papel_Carton
57274,CTRA GENERAL DEL SUR,3000.0,370674.619751,3144557.34463,,Papel_Carton
52315,CALLE AMAPOLA,3000.0,370475.972017,3144359.8523,,Papel_Carton
52772,CALLE TULIPAN,3000.0,370597.630974,3144440.78391,,Papel_Carton
52226,CALLE PARTE CAMINOS,3000.0,370768.47,3144740.14,,Papel_Carton
52211,CALLE ORQUIDEA,3000.0,370736.320721,3145051.52121,,Papel_Carton
59176,CALLE CIGARRILLOS,3000.0,371135.726684,3145202.76775,,Papel_Carton
52211,CALLE ORQUIDEA,3000.0,370802.268546,3145001.77804,,Papel_Carton
